ID,language,genre,lyrics
2095B356,bn,traditional,থাকু ভাইরে কোয় যামায় নায় নিতো আইয়ারে ভাতি আলে গাঙের নাইয়া এই বাস্যাতে নাহিরে নিলে গলায় কল্সি বাইন্দা এই বাস্যাতে নাহিরে নিলে গলায় কল্সি বাইন্দা ওইনা গোহিন গাঙের কলায়
6C948CD6,bn,traditional,পুল্ বাকা গাং বাকা গাংের পানি বাকা গাং বাকা গাংের পানি
68CC535A,bn,traditional,পিতাম তুই যে আমার সপ থেকে আপন এখন ছাই রাগেলি আমারে ভুকে আগুন জালাইরে ছাই রাগেলি আমারে ভুকে আগুন জালাইরে এক্টু কি হাই না নে তোরু দাযা তোরু মনো ভালা না নে তোরু পিরিতো ভালা না এগু মনো ভালা
9A435A7B,bn,traditional,আমি মনের শুখে এক বারে কানতে চাই
5F6FE241,bn,traditional,করে কাই জুনা মন জানো না তুমার ভানে ভাশুত করে কাই জুনা তুমাই রিদ্মা জারে রাখো ছেরে দেবো না ছেরে দেবো না
8543FFAF,bn,traditional,গাডি ঘোডা জুডি বাডি ঘোডি টেন্ডেস্টা সে দিন থাগে নাযার কোন অধিকার ভাগে নাযার কোন অধিকার বিশয় ভাই
A4A84DFB,bn,traditional,ফিরে জনো তুমায় আবার পায় তুমার আগে আমি জদি জাই দোর অদিগো ফিরে জনো তুমায় আবার পায় সুনিলো আকাশে আমি একলা মিশে
ADEEC885,bn,traditional,ব্রাম্মন চন্ ডালে চামারে মুঝি আগে জলে সকোলের সুছি দেখে শুনে হয় না রুজি
9C488BF8,bn,traditional,আনাদিগের পানি সুখাইলো দিনি দিনি দিপাশ যা কুল হয়লো সাবার পান পুদ্রত মালার পানি ভিনে হাখাকার আজে মিরে পাশেরে বুঝি কালোরে পারার
16260CF6,bn,traditional,নাই দে আমাই দুবাই লিদে আমাই ভাসাই লিদে যাপ্তুর তোটিযার ভুঝি তুল নাই দে
3D7F0BB0,bn,traditional,হার হয়ল জার ও জার ও অন্তার হয়ল পুরা রে আমার অন্তার হয়ল পুরা পিরিতি সারিযা গেছে হাই হাই
A12A98D8,bn,traditional,তুমি আমারি মতন মরিয় মরিয় শেম কলংকের হাঁ গলেতে পরিয় তুমি আমারি মতন মরিয় মরিয় শেম কলংকের হাঁ গলেতে পরিয়
97811C75,bn,traditional,ও ভন্দুরে মিছা মিছি আসা দিযা কেন ও বাপ্রেম শিখাই আরে ভন্দুর দুরে থাকা উসিত কিযার হাই আসা দিযা মিছি আসা দিযা হাই
41A8D4A2,bn,traditional,আসার মাস্যা ভাসা পানিরে
51C01E78,bn,traditional,ভুল্ভুলি আর্তো তা মহেনা কোতো নামে দাকি তোরে কোতো নামে দাকি জিনামে পরিষা এক্ষা সুয়িন কোতো নামে দাকি দাকি
2A7600ED,bn,traditional,কুনো যঙ্গ নাই জেনেও তোর চরণে মাথা রাকি দোযাল তুমি আছো কোথাই এক জনে ও দিলো নারে শাখি
8B047BF1,bn,traditional,ঘোরে বাইরে খুজে বেডাই মন মানোশের দেখা না পাই বারে বারে জাই ভেশে জাই মাতাল হাওয়ার সংগে কি রঙ্ লাগিলো আমার অংগে
A9F23EC6,bn,traditional,ভালো বাশা কো ভুন যো পুরাত তাই নিয়ে গো কেন প্রতিবাত ভালো বাশা কো ভুন যো পুরাত
ACDED3B9,bn,traditional,সুনি মোলে পাবে বেহেস তুখানা তা সুনি তো মুন মানে না কুন্না সামাদে সামাদা
65189C70,bn,traditional,ও জামন ছিটে গুলে পিমলে পল্লে নোডে ছোডে পারে না গুলে মালে গুলে মালে পিরিত কোরো না
270F416E,bn,traditional,তমারি সুপ্রেমের হায় কাস্টের পুতুল ললিনি হায় গোরামে ভজনহিন সাধনে বিহিন
8FCBB9A9,bn,traditional,আয়ান কপাল মন্দো হয়ো জারে কাসে জাই না থার কপাল মন্দো হয়ো জারে কাসে জাই না থার প্রজোহতে নোদেশে
8E8E12E9,bn,traditional,পিছনে আই গানটা রসুনা করিছে তিনি কতা শুখে সিলো তারা বসতি এখ ঘার পরে কতা শুখে মিশে সিলো মিলন মংচো পার খটা তা শীযায় এক মিশাক তিছার
3464F5D2,bn,traditional,বেছে বেছে করলে জামাই চিরো কালের নাহটা লো নাহটা মেনকা মাঠায় দেলো ঘোমেটা
72B973A9,bn,traditional,জিতে চাইলে জিতে দেবু না না না না জিতে দেবু না তুমাই রিদ্মা জারে রাখো ছেডে দেবু না
668020ED,bn,traditional,করে হাসন দেখি আছান মুখ হাসন জানের মুখ দেখি চন্মের গেলো দুক নিশা লাগিলো রে ঵াকা দুইন যোনি নিশা লাগিলো রে
9717D3E8,bn,traditional,ডান পায় দমশিল রাধের পাম পায় করিল মরলাম মরলাম করে রাধে চোমিনে করিল মরে না মরে না রাধে মন্ত্র ভালো জানি দুয়াকানা জারা দিয়ে বিশ করিবো পানি হে মনংগের বিশ জে জাডিতে পারে সোনা হারে জোবন খানি দান করিল
205C1029,bn,traditional,কাডে কিবো লিবো আমি নিজে যা পুরাধি কাডে কিবো লিবো আমি নিজে যা পুরাধি
0EDFA889,bn,traditional,পন্ধুর বাডির ফুলের টঙ্গি বাডির পুর্ভ ধারে
1B09F527,bn,traditional,আমারে ভুকে যাগনে বন্ধু তুমারে হাতে পানি
A1B040A7,bn,traditional,প পেরেত পেরেত সবাই বলে পেরেত যে কোই রাছে পেরেত পেরেত সবাই বলে পেরেত যে কোই রাছে পিডিতি কোয়া জইলা
616B07D9,bn,traditional,কানা মান জাপো মালা গানেই খুলে পেমের তালা কানা মান জাপো মালা গানেই খুলে পেমের তালা
496DC003,bn,traditional,জেগুনে আনন্দমারে আদর করে রাখে ধারে জেগুনে আনন্দমারে আদর করে রাখে ধারে
2AF2D125,bn,traditional,হামের তলাযায় রঙ্ভে রঙের শাডি গাযা ভাটি পাযা যায় জিলি মিলি জিলি মিলি কারে দেমা যুড় পংকিরি নায় কনিস্তরি নাও আনাই লোয়ে
0B309697,bn,traditional,হাদ ভান্ভে জাই পাউ ভান্ধে দাই মন তো ভান্ধে জাই না দারো ন ভিছে তের আগুন জলদি লেদি ভে না হাদ বান্ধা জাই পাও বান্ধা জাই মন বান্ধা তো জাই নাই
1516EECE,bn,traditional,পাগলো পারাগো বন্ধুহারা জিতে মারাগো আমি হোযাছি পাগলো পারাগো বন্ধুহারা জিতে মারাগো আমি হোযাছি পারাগো
3C7910D6,bn,traditional,পালামকের মাঝে সুযা নিদ্রাই জাই বিছিত্র পালামকের মাঝে সুযা
33CAFC6A,bn,traditional,তুমি জার লাগিযা কান্ডা কান্ডা কাটাই লাই রজনি তুমি জার লাগিযা কান্ডা কান্ডা কাটাই লাই রজনি
9F8AE753,bn,traditional,পন্দি করি দারায়াছু বিনো দুকানাই
32D661A8,bn,traditional,নারি জাতি অল্পমোতি গো ভুলাই শেমের বাশি দিযা নারি জাতি অল্পমোতি গো ভুলাই শেমের বাশি দিযা
6120EBED,bn,traditional,দারুন বাসন্ত কালে কৃষ্ণ গেল চলিয় দারুন বাসন্ত কালে কৃষ্ণ গেল চলিয়
5FEE8914,bn,traditional,কুন মিস তোরি না উা নাইসে রে কুন মিস তোরি না উা নাইসে কেমন দেখা জায় আরে জিল মিল জিল মিল গোরে রে ময়োর মংকি নাই কুন মিস তোরি না উা নাইসে রে
6A2AF35D,bn,traditional,আমি বডো পিরের দর্বারে আনোহোল করেছি আমি বডো পিরের দর্বারে কেমন করে দিভোসাথোর দেহো ওলির মাজারে নেহো ওলের মাজারে রাস্তা থামায় দিলো রাস্তা থামায় দিলো কাপেলা আয়লো দিল্লিতে নিজামোতি আউলি আয়লো দিল্লিতে নিজামোতি
34AE0857,bn,traditional,পজারে দযাল মুর্ষিচের শকা তার কিশের ভাবনা আমার রিদার মজে কাবা নযনে মধিনা ডেডে পাল তুলে দে মাঝি হেলা করিশনা পাল তুলে দে মাজি হালা
A718F71B,bn,traditional,কাউ টাকছে পাখি কয় না কথাবো ছে দাখো ডলিমে ফুলে যাই জমে ছে মা গুন কথা কাউ ডাকছে পাখি কয় না কথাবো ছুম ছুমি মল পায়ে তে কয় না সনার গায়ে তে আলো দেবো না কেরে নলোক মান তুমি করো না মান কুমি শুডু না দোলো দোলো দুলো নি লাঙা মাতার ছেরো নি
7533F6D1,bn,traditional,আমি জারে বাশি ভালো কাজলের ছেকালো হয়না জে তারে তুলো না এতো জেনি তুরু বন্ধু জানা ছিলো না
2777F647,bn,traditional,কেয় মালা কেয় কস্বি গলে তাই তোরে জাত ভিন্ন বলে জাও কিন বাশার বালায় জাতে ছেন হরাই কারে সাবলোকে কাই লাল নে কি জাত শাম্শারে
ABD18B8E,bn,traditional,নদির ভুকে তালাযাটা বন্ধু তুমি ভরা নদির জোযার ভাটানা খনে খনে ধেয় আশে তুমি আশো না বন্ধু তুমি ভরা নদির জোযার ভাটানা খনে খনে ধেয়
0EBE7868,bn,traditional,সানি সানি দানি রাপা দা পমপা সাকারে মা পামাগে সারে সানি
9458F812,bn,traditional,আসন রোজা হয়ে সে ভাগোল প্রান মন্দের কারানে আসন রোজা হয়ে সে ভাগোল প্রান মন্দের কারানে
8E804F78,bn,traditional,কাম্পে তিরতি রায়া নায়ের কোয়ায় রোজ দোপার মাতে মাতে রোজ দোপার মাতে আরে তিরলি পিরলি পুলে ভ্রমর ভ্রমরি খেলেরে বাদলয় দাইকায় পানিতে জমানে
09F92611,bn,traditional,আমি কি বলি বযা পিছে দেন আগুনে পুরে কলি জাযাংগা আমি কি না পিছে দেন আগুনে পিছে দেন আগুনে পিছে
041E2FF1,bn,traditional,আবা ছাই জনাতে জুক্তি করে আগন দিলো ঘরে তারাই আগন দিলো ঘরে তারাই আগন দিলো ঘরে
39CC11CE,bn,traditional,তাই বোশে আছো নিজো ধানে তুমি ছিনে লাও গা ক্রমে প্রমে মনো রে হে পোশে আছো নিজো ধানে তুমি ছিনে লাও গা ক্রমে
507966F9,bn,traditional,মালা দিবো গলে সরন তলে তাকি বভরিয়া আজ নিশিতে আয়ো বন্ধু বাসি হাতে লয়া
ADFA1DC7,bn,traditional,রুক্ধরিযা তুনি পুরুষের মন্হর বা গুরু গুরু খাঙ্গালে জানি আপার খোর
298866AE,bn,traditional,সুইলে সোপনে দেকিসেম লইয়া পেরাই কুন্বা দেশে দাই বলো গো বলো গো সকি কুন্বা দেশে দাই
3CA6E10F,bn,traditional,পন্ধু পার পাসি পারের ঘারে আসি এতো খুমে কানে ধারে পন্ধু পার পাসি পারের ঘারে আসি এতো খুমে কানে ধারে
5ED48AD3,bn,traditional,তখন পিরে কয়ে পাজারে কান গে শোনা মোরে আশিত্রি দায় আমার পরেশান আহা পরেশান আহা পরেশান আজা বাবা গান তোলে আমার পরেশান আমার পরেশান
3B5DDBEE,bn,traditional,ভকুল ফুল ভকুল ফুল সোনা দিযা আত কান বান ধাইলি
2205CEEF,bn,traditional,সামি জাডাক্তে পারিকে সামি জাডাক্তে পারিকে সামি জাডাক্তে পারিকে সামি জাডাক্তে পারিকে
3CB1DD14,bn,traditional,নানা বরনের ফুল ফুলের গন্দে মনা নন্দে হোমো রাযা কুল সোই গোভাসন কোভাসন
2F33A28E,bn,traditional,এমনা মার কেনো বন্ধু দালন খার
A733B263,bn,traditional,আখা কবিরা কবিরা হুআ এক হে
5C226D11,bn,traditional,সাই গো সাই তো মাতাশে
23121B33,bn,traditional,পাপালের ফের নইলে কিআর পাথিতি রেমন বেবোহা পাপালের ফের নইলে কিআর পাথিতি রেমন বেবোহা
0EFF3E71,bn,traditional,খনিক ভাসে নিরে আমি এক দিন না দেখিলাম তারে
561DA32C,bn,traditional,আমি মারা মেজলি আমাডি নিথুর শামকি জানে না জে জানো মা কুছে আজে না আতা দে কুই রোকো
86036EAE,bn,traditional,আমি চিস করেছে জিভো ন কার্পার নিলে আয়ে তুইশে আমার মন মন তরে পারলাম না ভুঝাই কেদে আয়ে তুইশে আমার মন
1B21DBF6,bn,traditional,এখদিন বাংগালি ছিলাম্রে এখদিন বাংগালি ছিলাম্রে
36EB789A,bn,traditional,করে মুলা দাগু তুনি নাইতা তারু পলে ছিলে পোতা
46CA3E21,bn,traditional,পরমাতার জোরেতে
89C2301A,bn,traditional,আবার আগম নিগম চোরা চোরে তারে ভিন্ন জাত বলে লোকে বলে লালন ফকের কন জাতির ছেলে
